Number;Name;Provider;Tag;Channel File Name;Service File Name;Service Type;picon
1152;Sky Sport News;SKY;SDTV;10273957116e24b305548d9c0f2522bf;ae82d9fd41f6c5467e1805270936313c;211;picon://1_0_D3_F1_4_85_C00000_0_0_0.png
1153;Sky Sport 1;SKY;SDTV;db1ebbb8e4c82a57ffa86d9cf1dc624c;86df71ec0c7d3d9c553e28c4e01bb9fa;22;picon://1_0_16_DD_4_85_C00000_0_0_0.png
1154;Sky Sport 2;SKY;SDTV;f3ee80631ce749377b12d5c3cb4bc90f;155f3b325132c6853b3c0b647ba87d3b;22;picon://1_0_16_DE_2_85_C00000_0_0_0.png
1155;Sky Sport 3;**ERROR** Provider not Found.;SDTV;d2f48a5a034dc8c4da7eb7d050581e87;cc5067a32635f8f4d8ec0bb17104c92e;211;picon://1_0_D3_107_3_85_C00000_0_0_0.png
1156;Sky Sport 4;**ERROR** Provider not Found.;SDTV;5e77030bae2422de1b98cc2b6352fffd;75380b127b722bdee534a6a5ce55980e;211;picon://1_0_D3_111_3_85_C00000_0_0_0.png
1157;Sky Sport 5;**ERROR** Provider not Found.;SDTV;145cf80ff9ae9cc40578e899e25ca5f9;33b07f963d598920098a8e8cde48460c;211;picon://1_0_D3_11B_3_85_C00000_0_0_0.png
1158;Sky Sport 6;**ERROR** Provider not Found.;SDTV;cfed53dc30996e1d827fb07965b464b3;a86976d1e2c3363b801108a0e9ee9c1a;211;picon://1_0_D3_125_3_85_C00000_0_0_0.png
1159;Sky Sport 7;**ERROR** Provider not Found.;SDTV;855476d3edaa106745517d22a304d822;50cf22fd5cd42cf8fa2684ee65305945;211;picon://1_0_D3_12F_3_85_C00000_0_0_0.png
1160;Sky Sport 8;**ERROR** Provider not Found.;SDTV;7cc5a44db189922b3a59a9c31082afe7;f23ef1a2a31f676968b2091e5d7b424d;211;picon://1_0_D3_139_2_85_C00000_0_0_0.png
1161;Sky Sport 9;**ERROR** Provider not Found.;SDTV;c9bbbddbf2ef89a3a6ed571d26211ff7;ade0e37d7b54df99bc21c0ce13dc39a2;211;picon://1_0_D3_143_2_85_C00000_0_0_0.png
1162;Sky Sport 10;**ERROR** Provider not Found.;SDTV;d65555a27b78367fb09ad594f977041a;70b7f13327417000d33c38bda6c61d27;211;picon://1_0_D3_14D_2_85_C00000_0_0_0.png
1164;Sky Bundesliga 1;SKY;SDTV;6cc15d0d06babce2c98ce2dde3d9bc16;f984a504ba26ac851278a0e0a768076d;22;picon://1_0_16_DF_4_85_C00000_0_0_0.png
1174;Sky Sport Austria;SKY;SDTV;dbbbea596a4fe0d9a31dc32618e8a093;c6c23436325fc3d34ddf429edd694610;22;picon://1_0_16_1E_2_85_C00000_0_0_0.png
1201;hr-fernsehen;ARD;SDTV;e58828fb00c5715bbaca894a024dc32e;ea8d134dbbcf70dad2c7dda5b52d4f83;1;picon://1_0_1_6DCC_44D_1_C00000_0_0_0.png
1202;SWR Fernsehen BW;ARD;SDTV;8ab6e584a69071ad7d1f3d6bc29273fc;b34d1da1f24d218926c9d8c9326739d6;1;picon://1_0_1_6DD1_44D_1_C00000_0_0_0.png
1203;WDR Dortmund;ARD;SDTV;c456b4062c04a8e2da0b1392d92a64a4;aacb1ed97d85e3c42dd2ea6653d1e1c4;1;picon://1_0_1_6E93_4B1_1_C00000_0_0_0.png
1204;NDR FS HH;ARD;SDTV;ed3c0b596b036581923c906176751e91;109693bcfa3fef46b0a843ba88a4a7de;1;picon://1_0_1_6E41_431_1_C00000_0_0_0.png
1205;rbb Berlin;ARD;SDTV;bb92cdb744d2ef9a106f0823b8198b30;21891b903cc322e378072261ede267fd;1;picon://1_0_1_6E2E_431_1_C00000_0_0_0.png
1206;MDR Sachsen;ARD;SDTV;1e22b555b75a59b202cb132cf418ff65;70023f6eee167678e8d1f59b8ae81891;1;picon://1_0_1_6E44_431_1_C00000_0_0_0.png
1207;tagesschau24;ARD;SDTV;ac96a8fa00f927853658b97f68bb4676;595c8caf8fadc078179717c0574f69f9;1;**ERROR** Icon not Found.
